JSW	JASTRZĘBSKA SPÓŁKA WĘGLOWA SA
JWW	JWW INVEST SA
KCH	KRAKCHEMIA SA
KCI	KCI SA
KDM	KDM SHIPPING PUBLIC LIMITED
KER	KERNEL HOLDING SA
KGH	KGHM POLSKA MIEDŹ SA
KGL	KGL SA
KGN	ZESPÓŁ ELEKTROCIEPŁOWNI WROCŁAWSKICH KOGENERACJA SA
KMP	PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE KOMPAP SA
KOM	KOMPUTRONIK SA
KPD	KOSZALIŃSKIE PRZEDSIĘBIORSTWO PRZEMYSŁU DRZEWNEGO SA
KPL	KINO POLSKA TV SA
KRI	KREDYT INKASO SA
KRK	KRKA DD
KRU	KRUK SA
KSG	KSG AGRO SA
KTY	GRUPA KĘTY SA
KVT	KRYNICA VITAMIN SA
LAB	LABO PRINT SA
LBT	LIBET SA
LBW	LUBAWA SA
LEN	LENA LIGHTING SA
LES	LESS SA
LKD	LOKUM DEWELOPER SA
LPP	LPP SA
LRK	LARK.PL SA
LRQ	LARQ SA
LSI	LSI SOFTWARE SA
LTX	LENTEX SA
LVC	TEXT SA
LWB	LUBELSKI WĘGIEL BOGDANKA SA
MAB	MABION SA
MAK	MAKARONY POLSKIE SA
MAN	MANYDEV STUDIO SE
MBK	MBANK SA
MBR	MO-BRUK SA
MBW	MARIE BRIZARDS WINE & SPIRITS SA
MCI	MCI CAPITAL ASI SA
MCR	MERCOR SA
MDG	MEDICALGORITHMICS SA
MDI	MDI ENERGIA SA
MEG	MEGARON SA
MEX	MEX POLSKA SA
MFO	MFO SA
MGT	MANGATA HOLDING SA
MIL	BANK MILLENNIUM SA
MIR	MIRACULUM SA
MLG	MLP GROUP SA
MLK	MLK FOODS PUBLIC COMPANY LTD
MLS	ML SYSTEM SA
MNC	MENNICA POLSKA SA
MOC	MOLECURE SA
MOJ	MOJ SA
MOL	MOL MAGYAR OLAJ-ÉS GÁZIPARI RÉSZVÉNYTÁRSASÁG
MON	MONNARI TRADE SA
MOV	MOVIE GAMES SA
MRB	MIRBUD SA
MRC	MERCATOR MEDICAL SA
MSP	MOSTOSTAL PLOCK SA
MSW	MOSTOSTAL WARSZAWA SA
MSZ	MOSTOSTAL ZABRZE SA
MVP	MARVIPOL DEVELOPMENT SA
MWT	MW TRADE SA
MXC	MAXCOM SA
MZA	MUZA SA
NEU	NEUCA SA
NNG	NANOGROUP SA
NTC	NEW TECH CAPITAL SA
NTT	NTT SYSTEM SA
NTU	NOVATURAS AB
NVA	PA NOVA SA
NVG	NOVAVIS GROUP SA
NVT	NOVITA SA
NWG	NEWAG SA
NXG	NEXITY GLOBAL SA
OBL	ORZEŁ BIAŁY SA
ODL	ODLEWNIE POLSKIE SA
OEX	OEX SA
OND	ONDE SA
ONO	ONESANO SA
OPG	CPI FIM SA
OPL	ORANGE POLSKA SA
OPM	OPTEAM SA
OPN	OPONEO.PL SA
OTM	ZAKŁADY PRZEMYSŁU CUKIERNICZEGO OTMUCHÓW SA
OTS	OT LOGISTICS SA
OVO	OVOSTAR UNION NV
PAS	PASSUS SA
PAT	PATENTUS SA
PBF	PBS FINANSE SA
PBG	PBG SA
PBX	PEKABEX SA
PCE	GRUPA AZOTY POLICE SA
PCF	PCF GROUP SA
PCG	PC GUARD SA
PCO	PEPCO GROUP NV
PCR	PCC ROKITA SA
PCX	PCC EXOL SA
PEN	PHOTON ENERGY NV
PEO	BANK POLSKA KASA OPIEKI SA
PEP	POLENERGIA SA
PGE	PGE POLSKA GRUPA ENERGETYCZNA SA
PGM	PMPG POLSKIE MEDIA SA
PGV	PGF POLSKA GRUPA FOTOWOLTAICZNA SA
PHN	POLSKI HOLDING NIERUCHOMOŚCI SA
PHR	PHARMENA SA
PJP	PJP MAKRUM SA
PKN	POLSKI KONCERN NAFTOWY ORLEN SA
PKO	POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SA
PKP	PKP CARGO SA
PLW	PLAYWAY SA
PLZ	PLAZA CENTERS NV
PMA	PRIMA MODA SA
PMP	PAMAPOL SA
PPS	PRZEDSIĘBIORSTWO PRZEMYSŁU SPOŻYWCZEGO PEPEES SA
PRI	NPL NOVA SA
PRM	PROCHEM SA
PRT	PROTEKTOR SA
PTG	POLTREG SA
PTH	PRIMETECH SA
PUR	PURE BIOLOGICS SA
PWX	POLWAX SA
PXM	POLIMEX-MOSTOSTAL SA
PZU	POWSZECHNY ZAKŁAD UBEZPIECZEŃ SA
QNT	QUANTUM SOFTWARE SA
QRS	QUERCUS TFI SA
RAE	RAEN SA
RAF	FABRYKA OBRABIAREK RAFAMET SA
RBW	RAINBOW TOURS SA
RDN	REDAN SA
REG	REGNON SA
RES	RESBUD SE
RFK	RAFAKO SA
RHD	REINHOLD EUROPE AB
RLP	RELPOL SA
RMK	REMAK-ENERGOMONTAŻ SA
RNC	REINO CAPITAL SA
RNK	RANK PROGRESS SA
RPC	ZAKŁADY MAGNEZYTOWE ROPCZYCE SA
RVU	RYVU THERAPEUTICS SA
RWL	RAWLPLUG SA
SAN	GRUPO SANTANDER
SCP	SCOPE FLUIDICS SA
SEK	SEKO SA
SEL	SELENA FM SA
SEN	SERINUS ENERGY PLC
SES	SESCOM SA
SFG	SILVANO FASHION GROUP AS
SFS	SFINKS POLSKA SA
SGN	SYGNITY SA
SGR	SADOVAYA GROUP SA
SHD	SOHO DEVELOPMENT SA
SHG	STARHEDGE SA
SHO	SHOPER SA
SIM	SIMFABRIC SA
SKA	FABRYKA FARB I LAKIERÓW ŚNIEŻKA SA
SKH	SKARBIEC HOLDING SA
SKL	SKYLINE INVESTMENT SA
SLV	SELVITA SA
SLZ	SLEEPZ AG
SNK	SANOK RUBBER COMPANY SA
SNT	SYNEKTIK SA
SNW	SANWIL HOLDING SA
SNX	SUNEX SA
SOL	SOLAR COMPANY SA
SON	SONEL SA
SPH	SOPHARMA AD
SPL	SANTANDER BANK POLSKA SA
SPR	SPYROSOFT SA
STF	STALPROFIL SA
STH	STS HOLDING SA
STP	STALPRODUKT SA
STS	SATIS GROUP SA
STX	STALEXPORT AUTOSTRADY SA
SUW	SUWARY SA
SVE	SYNTHAVERSE SA
SVRS	SILVAIR INC
SWG	SECO/WARWICK SA
TAR	TARCZYŃSKI SA
TBL	T-BULL SA
TEN	TEN SQUARE GAMES SA
THG	TENDERHUT SA
TIM	TIM SA
TLX	TALEX SA
TMR	TATRY MOUNTAIN RESORTS AS
TOA	TOYA SA
TOR	TORPOL SA
TOW	TOWER INVESTMENTS SA
TPE	TAURON POLSKA ENERGIA SA
TRI	TRITON DEVELOPMENT SA
TRK	TRAKCJA PRKII SA
TRN	TRANS POLONIA SA
TRR	TERMO-REX SA
TSG	TESGAS SA
TXM	TXM SA
U2K	UNIMA 2000 SYSTEMY TELEINFORMATYCZNE SA
UCG	UNICREDIT S.P.A
ULG	ULTIMATE GAMES SA
ULM	ULMA CONSTRUCCION POLSKA SA
UNF	UNFOLD.VC ASI SA
UNI	UNIBEP SA
UNT	UNIMOT SA
URT	URTESTE SA
URT1	URT1
URTA	URTESTE SA - PDA
VGO	VIGO PHOTONICS SA
VIN	GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS SA
VOT	VOTUM SA
VOX	VOXEL SA
VRC	VERCOM SA
VRG	VRG SA
VTL	VISTAL GDYNIA SA
VVD	VIVID GAMES SA
WAS	WASKO SA
WIK	WIKANA SA
WIS	BALTIC BRIDGE SA
WLT	WIELTON SA
WOJ	WOJAS SA
WPL	WIRTUALNA POLSKA HOLDING SA
WTN	WITTCHEN SA
WWL	WAWEL SA
WXF	WARIMPEX FINANZ & UND BETEILIGUNGS AG
XTB	X-TRADE BROKERS SA
XTP	XTPL SA
YOL	BLUGO SA
ZAP	GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY SA
ZEP	ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN SA
ZMT	ZAMET INDUSTRY SA
ZRE	ZAKŁAD BUDOWY MASZYN ZREMB-CHOJNICE SA
ZUE	ZUE SA
ZUK	ZAKŁADY URZĄDZEŃ KOTŁOWYCH STĄPORKÓW SA
ZWC	GRUPA ŻYWIEC SA
